step,activeVeh,minExpected,arrivedTotal,tlsCount,sum_qA,sum_qB,sum_switches
1,1,6,0,48,0,0,0
2,5,314,0,48,0,0,0
3,9,314,0,48,0,0,0
4,14,314,0,48,0,0,0
5,21,314,0,48,0,0,0
6,27,314,0,48,0,0,0
7,32,314,0,48,0,0,0
8,38,314,0,48,0,0,0
9,44,314,0,48,0,0,0
10,49,314,0,48,0,0,0
11,55,314,0,48,0,0,0
12,60,314,0,48,0,0,0
13,65,314,0,48,0,0,1
14,70,314,0,48,0,0,1
15,75,314,0,48,0,0,1
16,81,314,0,48,0,0,1
17,86,314,0,48,0,0,1
18,91,314,0,48,0,0,2
19,97,314,0,48,0,0,2
20,101,314,0,48,0,0,2
21,107,314,0,48,0,0,2
22,112,314,0,48,0,0,2
23,117,314,0,48,0,0,2
24,122,314,0,48,0,0,2
25,127,314,0,48,0,0,2
26,131,314,0,48,0,0,2
27,135,314,0,48,0,0,2
28,140,314,0,48,0,0,2
29,146,314,0,48,0,0,2
30,151,314,0,48,0,0,2
31,158,314,0,48,0,0,2
32,162,314,0,48,0,0,2
33,167,314,0,48,0,0,2
34,173,314,0,48,0,0,2
35,178,314,0,48,0,0,2
36,184,314,0,48,0,0,2
37,188,313,1,48,0,0,2
38,192,313,1,48,0,0,2
39,198,313,1,48,0,0,2
40,204,313,1,48,0,0,2
41,210,313,1,48,0,0,2
42,215,313,1,48,0,0,2
43,221,313,1,48,0,0,2
44,226,313,1,48,0,0,2
45,231,313,1,48,0,0,2
46,237,313,1,48,0,0,2
47,241,312,2,48,0,0,2
48,246,312,2,48,0,0,2
49,252,312,2,48,0,0,2
50,256,312,2,48,0,0,2
51,262,312,2,48,0,0,2
52,267,312,2,48,0,0,2
53,272,312,2,48,0,0,2
54,278,312,2,48,0,0,2
55,283,312,2,48,0,0,2
56,288,312,2,48,0,0,2
57,293,312,2,48,0,0,2
58,298,312,2,48,0,0,2
59,304,312,2,48,0,0,2
60,309,312,2,48,0,0,2
61,310,311,3,48,0,0,2
62,311,311,3,48,0,0,2
63,311,311,3,48,0,0,2
64,311,311,3,48,0,0,2
65,311,311,3,48,0,0,2
66,311,311,3,48,0,0,2
67,311,311,3,48,0,0,2
68,311,311,3,48,0,0,2
69,311,311,3,48,0,0,2
70,310,310,4,48,0,0,2
71,307,307,7,48,0,0,2
72,307,307,7,48,0,0,2
73,306,306,8,48,0,0,2
74,306,306,8,48,0,0,2
75,306,306,8,48,0,0,2
76,305,305,9,48,0,0,2
77,305,305,9,48,0,0,2
78,305,305,9,48,0,0,2
79,305,305,9,48,2,0,3
80,305,305,9,48,2,0,4
81,304,304,10,48,2,0,4
82,304,304,10,48,2,0,4
83,303,303,11,48,2,0,4
84,303,303,11,48,2,0,4
85,303,303,11,48,2,0,4
86,303,303,11,48,2,0,4
87,301,301,13,48,2,0,4
88,300,300,14,48,2,0,4
89,300,300,14,48,2,0,4
90,299,299,15,48,2,0,4
91,299,299,15,48,2,0,4
92,299,299,15,48,2,0,4
93,299,299,15,48,2,0,4
94,299,299,15,48,2,0,4
95,299,299,15,48,2,0,4
96,299,299,15,48,2,0,4
97,297,297,17,48,2,0,4
98,295,295,19,48,2,0,4
99,293,293,21,48,2,0,4
100,293,293,21,48,2,0,4
101,291,291,23,48,2,0,4
102,291,291,23,48,2,0,4
103,291,291,23,48,2,0,4
104,291,291,23,48,2,0,4
105,289,289,25,48,2,0,4
106,289,289,25,48,2,0,4
107,289,289,25,48,2,0,4
108,289,289,25,48,2,0,4
109,288,288,26,48,2,0,4
110,288,288,26,48,2,0,4
111,287,287,27,48,2,0,4
112,286,286,28,48,2,0,4
113,286,286,28,48,2,0,4
114,286,286,28,48,2,0,4
115,286,286,28,48,2,0,4
116,286,286,28,48,2,0,4
117,285,285,29,48,2,0,4
118,285,285,29,48,2,0,4
119,285,285,29,48,2,0,4
120,283,283,31,48,2,0,4
121,282,282,32,48,2,0,4
